category,status,goal,funded percentage,duration
Film &amp; Video,successful,3000,1.315333333,30
Art,failed,1000,0.1,29.98
Film &amp; Video,successful,7500,1.013466667,30
Film &amp; Video,successful,6000,1.341666667,90
Games,failed,1000,0.107,8.28
Publishing,failed,2500,0.128,30.04
Theater,failed,7560,0.424603175,90
Food,failed,55000,0.001090909,60
Theater,failed,3500,0.564285714,37.67
Theater,successful,3000,1.044,61.07
Photography,failed,50000,0.0038,29.96
Film &amp; Video,failed,5000,0.0052,29.96
Music,successful,3000,1.066666667,49.73
Art,successful,3000,1.857333333,30
Fashion,failed,3000,0.345,60.04
Publishing,successful,15000,1.679066667,60
Music,successful,2000,1.14271,40
Music,successful,20000,1.1095,30
Publishing,failed,5000,0.072,45
Film &amp; Video,failed,10000,0.145,30
Film &amp; Video,failed,53500,0.005046729,40.04
Music,failed,1000,0.025,30
Dance,failed,8000,0.0045,89
Film &amp; Video,successful,15000,1.036266,60
Technology,failed,10000,0.0025,30
Music,failed,3000,0.722333333,30
Film &amp; Video,failed,7500,0.006666667,45
Film &amp; Video,failed,4000,0.08425,45
Film &amp; Video,successful,25000,1.0623292,60.1
Music,successful,5000,1.44443,40
Theater,successful,4000,1.1625,13.35
Music,failed,10000,0.3053,59.96
Music,failed,3000,0.227333333,14.88
Dance,successful,5000,1.0732,53.67
Fashion,failed,5200,0.512884615,67.16
Art,successful,5000,1.0694,30.04
Music,successful,1500,1.8687,31.17
Film &amp; Video,successful,700,1.435714286,50.82
Music,failed,3000,0.016666667,59.96
Theater,failed,1800,0.097222222,40
Theater,successful,2500,1.17,33.25
Film &amp; Video,successful,10000,1.115,60.04
Art,successful,2222,1.008550855,34.06
Film &amp; Video,failed,10000,0.017,24.17
Publishing,failed,3000,0.035,30
Film &amp; Video,successful,3000,1.079333333,51.22
Comics,successful,700,1.514285714,30
Film &amp; Video,failed,6000,0.003,89.12
Film &amp; Video,successful,2500,1.128,35
Music,failed,7000,0.038571429,30
Art,failed,5000,0,30.04
Music,successful,3000,1.016703333,30
Food,successful,10000,1.0301,80.02
Film &amp; Video,failed,2500,0.32144,10
Photography,failed,12000,0.050833333,45
Food,successful,1000,1.275,60
Film &amp; Video,successful,1000,1.301,19.99
Music,successful,4500,1.34678,30
Film &amp; Video,failed,100000,0.0481877,30.96
Music,failed,2500,0.09,7.3
Film &amp; Video,failed,20000,0.012,60.04
Film &amp; Video,successful,8000,1.017,30
Film &amp; Video,failed,2000,0,30
Photography,failed,2500,0.2604,30
Music,successful,1300,1.15,30
Publishing,failed,3000,0.06,30
Film &amp; Video,successful,5000,1.013,30
Music,successful,1000,1.071,59.03
Dance,failed,2300,0.054347826,32
Music,failed,2000,0.2655,90
Film &amp; Video,failed,100000,0.22213,60
Film &amp; Video,failed,8500,0.006235294,45
Art,failed,2500,0,31.47
Fashion,successful,5000,1.075,46.96
Film &amp; Video,successful,1500,1.1328,14.24
Film &amp; Video,failed,7500,0.013333333,31.04
Fashion,failed,15000,0.3434,32.96
Film &amp; Video,failed,13000,0.007692308,60.04
Art,successful,1300,1.053846154,30
Music,successful,10000,1.020265,30
Games,failed,7000,0.152714286,45
Food,failed,12500,0.03936,45
Publishing,failed,7500,0.036666667,30
Music,failed,3750,0.016,60
Film &amp; Video,successful,12000,1.0735,46
Publishing,failed,10000,0,35.98
Film &amp; Video,failed,5000,0.057,30.47
Film &amp; Video,failed,5000,0,30
Music,successful,3500,1.565714286,31
Publishing,successful,2000,1.183,29.96
Film &amp; Video,successful,4125,1.037575758,25.44
Publishing,failed,1200,0,43.31
Theater,failed,10000,0,29.99
Film &amp; Video,successful,6000,1.0755,22.03
Film &amp; Video,failed,2000,0,52.74
Music,successful,3000,1.433333333,90.96
Music,failed,1500,0.514,51
Theater,successful,1000,1,42.12
Art,successful,1000,1.011,31.13
Art,failed,2000,0.345,34.75
Film &amp; Video,successful,500,1.34402,7
Music,successful,4000,1.134375,89.94
Film &amp; Video,failed,8420,0.071852732,30
Games,failed,4000,0.0325,59.96
Theater,successful,5000,1.0002,30
Music,failed,2000,0.055,17.87
Dance,failed,1200,0,1.98
Film &amp; Video,failed,15000,0.022,30.33
Technology,failed,85000,0.022423529,59.85
Design,successful,10000,1.009,30
Film &amp; Video,failed,4000,0.129,60.04
Film &amp; Video,failed,1400,0.025714286,30
Film &amp; Video,failed,2000,0.0125,45
Film &amp; Video,successful,10000,1.0509,31.5
Film &amp; Video,successful,4500,1.098222222,30
Publishing,failed,5000,0.016,30
Games,successful,18000,1.284138889,45.44
Publishing,successful,2500,1.17,45
Music,failed,3500,0.085714286,45
Film &amp; Video,failed,1000,0,14.91
Film &amp; Video,successful,1000,1.305,90.96
Food,successful,10000,1.019,45.96
Film &amp; Video,failed,100000,0.02605,90.96
Music,successful,7000,1.014285714,33
Art,failed,3500,0.137142857,30.04
Film &amp; Video,failed,70000,0,40
Fashion,successful,500,1.17,8
Publishing,successful,8000,2.4573475,30
Film &amp; Video,successful,500,2.676,30
Publishing,failed,1104.27,0,17.53
Publishing,successful,2000,1,40
Music,failed,3000,0,16.45
Film &amp; Video,successful,4000,1.01875,45
Games,failed,17000,0.041764706,36.91
Food,successful,500,1,38
Technology,failed,1800,0.236666667,30
Film &amp; Video,successful,15000,1.101246,45
Games,failed,2500,0.058,32.58
Film &amp; Video,successful,3000,1.292,49.47
Film &amp; Video,failed,50000,0,69.88
Fashion,failed,15000,0,35
Film &amp; Video,failed,7000,0.017142857,60.04
Film &amp; Video,failed,12500,0.00016,60
Art,successful,550,1.556363636,25.29
Music,successful,10000,1.230807,30.04
Film &amp; Video,successful,5000,1.0518,41.05
Music,successful,3000,1.020666667,17.01
Music,failed,6000,0.02,66.35
Art,successful,1100,1.009345455,28.87
Film &amp; Video,successful,6000,1.027575,30
Publishing,failed,7500,0,45
Music,successful,7000,1.315857143,60
Dance,successful,575,1.006086957,88.92
Film &amp; Video,failed,10000,0.034,71.43
Fashion,successful,3000,1.456666667,25.71
Film &amp; Video,successful,500,1.6,60
Publishing,failed,3300,0.001515152,27.9
Film &amp; Video,failed,8000,0.003125,72
Art,failed,2750,0.285818182,8.07
Design,successful,14000,1.129715,34.17
Comics,successful,700,1.564285714,30
Film &amp; Video,failed,15000,0.067482,90.96
Fashion,failed,15000,0.005,76.99
Music,successful,2500,1.149408,30.86
Publishing,failed,25000,0.004,29.96
Film &amp; Video,failed,1000,0,30
Music,successful,5000,1.1762,59.96
Publishing,failed,25000,0,30
Art,successful,5000,1.025,30
Film &amp; Video,successful,7000,1.050142857,60
Publishing,failed,2240,0.066964286,30
Design,failed,600,0.191666667,33.98
Publishing,failed,1500,0.380666667,30
Film &amp; Video,failed,5000,0.067,22.48
Music,successful,3000,3.506666667,30
Music,successful,2000,1.07,20.96
Music,successful,5000,2.127,69.44
Food,failed,3000,0.01,30
Film &amp; Video,failed,1200,0.229166667,34.08
Photography,successful,10000,1.0795,60
Photography,successful,1000,1.57299,45.21
Theater,failed,2000,0.01,8.17
Publishing,successful,2500,1.1508,51.86
Film &amp; Video,successful,5500,1.018181818,60
Design,failed,5000,0.3346,30
Theater,failed,1000,0.05,30.34
Art,failed,1500,0.066666667,35.92
Publishing,failed,6000,0.032666667,38
Film &amp; Video,successful,14000,1.121428571,30.94
Film &amp; Video,successful,7800,1.035512821,21.55
Food,successful,1100,1.979090909,60
Film &amp; Video,successful,2800,1.077046429,34.09
Games,failed,10000,0.0085,30
Film &amp; Video,successful,3300,1,20.01
Art,failed,1500,0.013333333,35
Publishing,successful,4000,1.0155,30
Art,failed,3000,0.54,24.93
Art,successful,2200,1.123181818,45
Publishing,failed,13500,0.056666667,40
Film &amp; Video,failed,74381.43,0,23.17
Food,failed,3000,0.431666667,62.33
Art,successful,1500,1.138,29.12
Film &amp; Video,failed,10000,0.0305,58.53
Publishing,failed,25000,0,30
Film &amp; Video,successful,2000,3.11,70.94
Technology,successful,1000,1.806,29.96
Film &amp; Video,successful,900,1,78.41
Dance,successful,1000,1.475,60
Publishing,failed,20000,0.03375,30
Music,successful,5000,1.012,59.07
Publishing,failed,17500,0.008571429,35
Publishing,successful,3500,1.08,32.01
Photography,successful,13000,1.024263077,30
Film &amp; Video,failed,125000,0.048104,50.48
Music,successful,10000,1.0455,91
Film &amp; Video,successful,5000,1.676,65.22
Film &amp; Video,failed,25000,0,61.96
Art,successful,2600,1.110638462,30
Art,failed,15000,0.301266,65.95
Film &amp; Video,failed,50000,0.01502,30.85
Music,successful,6000,1.20675,46.94
Music,failed,12250,0.014285714,37.41
Publishing,successful,13000,1.008461538,29.96
Film &amp; Video,successful,6778,1.185157864,36.96
Film &amp; Video,failed,2500,0.146,30
Art,successful,10000,1.01,15.73
Film &amp; Video,failed,13000,0.270461538,30.04
Film &amp; Video,failed,500,0.03,30
Music,successful,2000,1.045,44.96
Music,successful,1000,1.27,44.37
Music,failed,24000,0.09375,59.96
Publishing,failed,5500,0.161272727,70.96
Photography,failed,5000,0.0182,60
Theater,successful,1100,1.022727273,30
Film &amp; Video,failed,100000,0.0621,30
Design,failed,8000,0.1195,60
Food,successful,5000,1.201222,30
Music,successful,1000,1,60
Film &amp; Video,failed,10000,0.0582,50
Film &amp; Video,successful,10000,1.0215,60
Film &amp; Video,successful,1000,1.9707,30
Publishing,successful,2800,1.146071429,30
Art,failed,3000,0.12,32.96
Food,failed,2000,0.05,30
Music,failed,3000,0.175333333,51.72
Fashion,failed,1500,0,60.31
Film &amp; Video,successful,2500,1.134404,18.94
Art,failed,12000,0.002333333,44.32
Film &amp; Video,failed,7000,0,90.04
Film &amp; Video,failed,100000,0.0184,59.96
Film &amp; Video,failed,5000,0.01,32.43
Technology,failed,20000,0.154828,16.45
Film &amp; Video,failed,2900,0.289655172,37.01
Film &amp; Video,failed,2500,0.2,49.96
Music,failed,1500,0.2114,59.96
Food,failed,8000,0.16225,30
Music,failed,6000,0,30
Dance,successful,6000,1.0125,40
Film &amp; Video,failed,25000,0.4922,30
Music,failed,500000,0,24.02
Film &amp; Video,failed,75000,0.011866667,31
Film &amp; Video,failed,1500,0.414,13.67
Film &amp; Video,successful,8000,1.003125,45.43
Music,successful,2750,1.049938182,60
Art,failed,2500,0.1044,30
Dance,successful,5000,1.025402,49.26
Music,successful,6000,1.019166667,32.96
Comics,failed,8500,0.119176471,30
Film &amp; Video,failed,1150,0.014782609,89.92
Film &amp; Video,successful,9785,1.007145631,29.96
Theater,failed,5000,0.16,37.53
Comics,failed,2000,0.2175,55
Film &amp; Video,successful,5000,1.124,60
Music,successful,4000,1.3265025,60
Film &amp; Video,successful,3000,1.066666667,30.95
Fashion,failed,1500,0.000666667,30
Music,successful,2000,1.03,58.14
Publishing,failed,7500,0.031333333,45
Theater,successful,50000,1.3521154,60
Film &amp; Video,successful,6000,1.067833333,23.84
Film &amp; Video,failed,14000,0.316332857,45
Technology,successful,6000,1.003,30
Art,successful,2000,2.034,41
Music,successful,3000,1.01002,58.18
Music,successful,12000,1.0860925,31.98
Music,failed,1000,0.05,31
Dance,failed,10000,0.208001,30
Music,successful,2000,1.7525,46.03
Design,failed,3000,0,60.92
Music,successful,3000,1.131666667,65.51
Photography,successful,7000,2.025428571,36.16
Theater,successful,6100,1.852459016,44.38
Music,successful,16000,1.1710275,28.39
Art,failed,6000,0.384628333,20.95
Music,successful,4000,1.09525,26
Publishing,failed,5000,0,30
Film &amp; Video,successful,700,1.342857143,16.87
Theater,successful,500,1.17,17.87
Film &amp; Video,successful,20000,1.2447885,28.78
Film &amp; Video,successful,25000,1.8439352,60
Film &amp; Video,failed,5000,0.3552,15.42
Film &amp; Video,failed,3274,0.105986561,29.96
Publishing,failed,15000,0,59.96
Art,failed,2750,0.012,30
Film &amp; Video,failed,1000,0,80.95
Fashion,failed,13000,0.015384615,88.97
Games,failed,5000,0.0002,29.96
Film &amp; Video,successful,15000,1.009866667,40
Art,successful,3000,1.045333333,30.67
Music,failed,3500,0.002857143,30
Music,successful,6000,1.033646667,30
Art,successful,2000,3.045055,49.3
Photography,failed,6000,0.0025,30
Design,successful,1000,1.444,30
Music,successful,10000,2.3171,40
Food,successful,5500,1.06862,60
Film &amp; Video,successful,7000,1.024285714,41.96
Music,successful,3000,1.29,90
Film &amp; Video,successful,5000,1.036,90.96
Film &amp; Video,successful,500,1.7104,28.93
Music,failed,7000,0.051428571,40
Dance,successful,5000,1.0842,90
Film &amp; Video,successful,5000,1.0494,16.52
Dance,successful,2500,1.2,30
Music,successful,6000,1.02111,45
Theater,successful,6500,1.129076923,45
Film &amp; Video,successful,16000,1.007208125,60
Film &amp; Video,successful,7500,1.045213333,30
Publishing,successful,993,1.10775428,89.7
Music,successful,5000,1.2032,28.65
Film &amp; Video,successful,2000,1.3555,30
Music,successful,2500,1.461204,53.95
Photography,successful,2500,1.248,30
Film &amp; Video,successful,5000,1.0712,35
Film &amp; Video,failed,3900,0.15,30
Music,successful,10000,1.7123,29.96
Film &amp; Video,successful,2000,1.0475,29.96
Publishing,successful,2000,1.418055,25.46
Comics,successful,4300,1.395348837,30
Publishing,failed,3000,0.003333333,30
Film &amp; Video,successful,1800,1.069444444,30
Theater,successful,500,1.35,25.95
Music,successful,5000,1.4132,38.89
Music,successful,1000,1.17,90
Art,successful,25000,1.3438,35
Technology,failed,5000,0,89.8
Theater,failed,8400,0.145053571,45.05
Games,failed,1200,0,21.57
Food,failed,10000,0.001,30
Film &amp; Video,failed,17091,0.076355977,59.04
Fashion,failed,8500,0.181552941,30
Comics,failed,7000,0.003571429,30.04
Publishing,failed,18000,0.045055556,30
Music,failed,9800,0.045918367,41.01
Music,successful,3500,1,39.09
Film &amp; Video,successful,10500,1.059046667,30
Publishing,successful,550,2,19.96
Dance,successful,7000,1.026285714,30
Publishing,failed,997,0.030090271,32.23
Music,successful,1500,1.086666667,30
Food,failed,6000,0.036333333,45
Technology,successful,2500,1.004004,23.99
Comics,failed,18500,0,60
Film &amp; Video,successful,5000,1.003,29.96
Music,successful,1000,1,31
Music,failed,500,0,49.07
Music,failed,1500,0.19336,44.96
Publishing,successful,2000,1.205,30
Publishing,failed,3500,0,30
Music,successful,1500,2.443333333,75.96
Games,failed,8000,0.02375,30.04
Art,successful,800,1.275,22
Film &amp; Video,successful,10000,1.0001,30
Film &amp; Video,successful,10000,1.0061,30
Music,successful,1500,1.034,30
Film &amp; Video,successful,1500,1.94264,65
Film &amp; Video,successful,5500,1.236909091,10.46
Art,successful,2000,1.0705,35
Food,successful,30000,1.1334,49.21
Theater,successful,1500,1.066666667,30
Film &amp; Video,successful,10000,1.002,60
Music,failed,4800,0.044791667,35.38
Fashion,successful,8500,1.056588235,18
Publishing,failed,2500,0.0424,22.5
Theater,successful,4094,1.329179287,70.89
Art,failed,2000,0.632125,44.97
Film &amp; Video,failed,750,0.001333333,15
Food,successful,10000,1.011554,68.19
Photography,successful,5000,1.6102,42.33
Music,successful,1500,1.19,31.03
Publishing,successful,6000,1.044333333,34.84
Film &amp; Video,successful,25000,1.78551,30
Music,failed,10000,0,30
Film &amp; Video,failed,15000,0.131333333,44.96
Food,successful,4000,1.0675,30
Music,successful,5500,1.131045455,30
Film &amp; Video,successful,7500,1.064666667,30
Film &amp; Video,failed,30000,0.000166667,30
Music,failed,1000,0.54,32.37
Music,successful,1000,1.779,33.68
Music,successful,8000,1.0375,27.91
Music,successful,1500,1.233333333,30.04
Food,failed,27500,0.271290909,28.1
Film &amp; Video,failed,7500,0,45.87
Publishing,successful,3000,1.291376667,30
Publishing,successful,600,1.158333333,30
Art,failed,2150,0.058139535,60.96
Music,successful,6999,1.060651522,33.99
Music,successful,600,1.183333333,35
Film &amp; Video,failed,100000,0.00772,89.96
Publishing,failed,900,0.227777778,90.04
Games,failed,10000,0.0145,78.6
Music,successful,1000,1.03,59.93
Music,failed,5000,0.047,60
Music,failed,4000,0.05075,43.44
Music,failed,16000,0.01,60
Music,successful,1400,1.670714286,34.96
Games,failed,5000,0.06,60
Film &amp; Video,successful,2300,1.019565217,30.04
Music,successful,4500,1.044666667,31.96
Publishing,failed,1000,0,10.04
Publishing,successful,3000,1.133333333,41.24
Film &amp; Video,failed,699,0.135908441,30
Film &amp; Video,failed,3500,0.217142857,55.72
Music,successful,10000,3.5055,30
Art,failed,5000,0.282002,31.88
Music,failed,1500,0.006666667,36.98
Music,failed,3000,0.467666667,30
Music,successful,6000,1.323,30
Art,successful,1800,1.055561111,30
Film &amp; Video,successful,1500,1.354,26.3
Film &amp; Video,successful,3250,1.747193846,25
Music,failed,1000,0.5,30
Film &amp; Video,failed,50000,0.0177,30
Theater,successful,10000,1.0125,30
Film &amp; Video,successful,5000,1.1114,46
Music,failed,5000,0,37.06
Film &amp; Video,successful,5000,1.0724,30
Comics,failed,5000,0.4072,45.04
Music,successful,5000,1.451,29.96
Film &amp; Video,failed,25000,0.1144,90
Film &amp; Video,failed,7500,0.132266667,30
Art,successful,7000,1.017142857,33.27
Film &amp; Video,failed,28000,0,59.96
Music,failed,3000,0.296666667,33.13
Publishing,failed,7000,0,30
Games,successful,5000,1.301266,41.49
Film &amp; Video,failed,7000,0.071428571,70.96
Publishing,failed,16500,0.013636364,45
Music,successful,4000,1.416305,30
Photography,successful,3000,1.280666667,44.96
Film &amp; Video,successful,5500,1.027298182,53.97
Music,successful,750,1,60
Music,failed,20000,0.00505,31.16
Music,successful,3000,1.07,59.96
Film &amp; Video,successful,6500,1.162461538,30.33
Film &amp; Video,failed,50000,0.22118,30.04
Art,failed,4000,0.1634325,60
Games,successful,4200,1.203571429,30
Film &amp; Video,successful,7500,1.18034,39.03
Film &amp; Video,successful,999,1.001001001,4.04
Film &amp; Video,successful,3000,1.258333333,30.04
Design,successful,11000,1.249401818,59.96
Art,failed,3900,0.012820513,60.04
Dance,failed,3000,0.933666667,44
Publishing,failed,1000,0.07,30
Music,successful,2500,1.2392,45
Photography,failed,20000,0.05505,30
Music,failed,1000,0.032,30.14
Publishing,successful,600,1.29,30
Film &amp; Video,successful,500,1.25,59.96
Art,successful,10000,1.024053,90
Film &amp; Video,successful,28000,1.043240714,34.59
Film &amp; Video,successful,3000,1.36,21
Photography,successful,6000,1.103333333,28
Music,successful,500,1,12.72
Film &amp; Video,successful,15500,1.022064516,43.98
Music,failed,3000,0.370333333,30
Film &amp; Video,successful,3000,1.016666667,32.79
Film &amp; Video,failed,3000,0,62.53
Publishing,failed,3000,0.018333333,35.82
Design,failed,10000,0.031,30
Theater,successful,2000,1.19,46.04
Games,failed,3000,0.015,60
Music,successful,10000,1.2331,30
Publishing,failed,3000,0.207,30.94
Film &amp; Video,failed,5500,0.675636364,29.96
Film &amp; Video,successful,1500,1.22214,14
Design,failed,75000,0.106213333,44.96
Music,failed,16000,0.00975,35
Games,failed,50000,0.05686,90
Fashion,successful,1000,1.431,30
Music,successful,3000,1.06867,60.94
Publishing,failed,5000,0.047,45
Art,failed,2500,0.05,45.96
Art,failed,20000,0,47.66
Film &amp; Video,failed,50000,0,90.96
Music,successful,2200,1.045454545,25.87
Publishing,failed,16000,0.206,33.39
Photography,successful,5000,1.278,45.14
Art,successful,3000,1.264006667,42.17
Film &amp; Video,successful,26000,1.269230769,32
Art,failed,5000,0.02,37.86
Music,successful,6000,1.707,60
Publishing,failed,5000,0.012,45
Film &amp; Video,failed,6000,0.001666667,75
Art,successful,1000,1.072,60
Theater,successful,750,1.102666667,34.44
Publishing,failed,1200,0,60
Publishing,failed,12500,0.0544,59.43
Music,successful,5000,1.365,40
Film &amp; Video,failed,3000,0.006666667,60
Film &amp; Video,successful,5000,1.382,61.04
Publishing,successful,25000,1.07983,60.04
Film &amp; Video,failed,2000,0,30
Fashion,failed,1000,0.01711,30.04
Film &amp; Video,successful,20000,1.0037,29.97
Design,successful,15000,1.031733333,45
Food,successful,6473,1.143982697,31
Film &amp; Video,failed,1500,0.154,40
Theater,successful,5000,1.12,30
Art,failed,6000,0.055833333,30
Film &amp; Video,successful,3000,1.255,30
Film &amp; Video,failed,30000,0.1064,36.37
Film &amp; Video,failed,2000,0.128,30
Music,failed,2000,0.055,45.04
Music,failed,6000,0.005,90.96
Music,successful,1500,1.05,60
Art,failed,3000,0.121333333,32.08
Film &amp; Video,successful,2500,1.002,22.82
Music,successful,3000,1.16677,45
Photography,successful,9800,1.151020408,59.96
Film &amp; Video,successful,6000,1.066795,30.04
Publishing,failed,1000,0,43.03
Music,successful,4000,1.0195,30.04
Film &amp; Video,failed,4999,0.416883377,30
Film &amp; Video,successful,9000,1.014444444,30
Photography,successful,8800,1.965038636,30
Fashion,successful,6110,1.081833061,46.04
Publishing,successful,7000,1.002571429,35.45
Music,successful,3900,1.317307692,18.63
Music,failed,1500,0.066666667,59.23
Music,successful,600,1.145,30
Art,successful,1500,1.064726667,14
Film &amp; Video,failed,1000,0.151,45
Food,successful,3350,1.167164179,35
Art,failed,950,0.005263158,13.96
Art,successful,5000,1.004,25
Film &amp; Video,successful,650,1.584615385,25
Music,failed,500,0.056,45
Food,successful,2500,1.068,44.83
Film &amp; Video,successful,2500,1.319064,59.96
Music,failed,3500,0.101714286,45.03
Publishing,failed,5000,0.019,89.19
Theater,failed,5000,0.106,34.37
Music,failed,15000,0.025,30
Film &amp; Video,successful,2400,1.004166667,25.49
Film &amp; Video,successful,5000,1.084,31.24
Film &amp; Video,successful,4400,1.277272727,30
Film &amp; Video,successful,2000,1.0615,40.63
Photography,successful,7000,1,30
Art,failed,10000,0.2788,30
Film &amp; Video,failed,7500,0.0888,60.04
Publishing,successful,5248.37,1.038798713,30
Fashion,failed,15000,0,30
Food,failed,15000,0.031333333,34.96
Art,successful,2000,1.080775,44.46
Publishing,failed,1000,0,90
Film &amp; Video,failed,18000,0.109777778,59.96
Design,successful,500,1.156,37
Film &amp; Video,successful,5000,1.414,38.9
Food,successful,2800,1.007142857,30
Art,successful,2650,1.586415094,33
Film &amp; Video,failed,200000,0.000275,60.04
Film &amp; Video,successful,15000,1.092333333,59.96
Fashion,failed,600,0,30
Comics,successful,4000,1.543,47.47
Music,successful,4000,1.06625,24.01
Music,successful,4000,1.0225,60.04
Film &amp; Video,failed,15000,0,89.96
Film &amp; Video,failed,25000,0.0004,90
Design,failed,5500,0,60
Theater,failed,9500,0.137368421,46.05
Games,successful,5000,1.561,40
Film &amp; Video,failed,20000,0.02275,23.96
Film &amp; Video,successful,7500,1.215066667,30
Publishing,failed,20000,0.02215,37.85
Food,successful,2500,1.1028,39.96
Music,successful,1000,1.462,60
Music,successful,550,1.172727273,25
Film &amp; Video,failed,50000,0.0063,60
Games,failed,12500,0.32608,45.04
Comics,failed,1200,0.004166667,30
Film &amp; Video,successful,8000,1.051875,46.2
Theater,successful,1600,1.00235625,22
Film &amp; Video,successful,500,2.352,30.96
Publishing,failed,900,0.138888889,3.97
Dance,successful,4000,1.01875,28.21
Film &amp; Video,failed,251533,0.001395443,45
Art,successful,4000,1.05125,7.18
Film &amp; Video,successful,1200,1.011666667,29.96
Music,failed,6000,0.04,30
Film &amp; Video,failed,150000,0,30
Film &amp; Video,failed,3000,0.403666667,30
Music,successful,3000,1.667,30
Art,successful,1300,1.102307692,38.96
Art,successful,3500,1.007142857,31.32
Art,successful,5000,1.1692,30
Technology,failed,50000,0,29.87
Art,failed,10000,0.035,29.96
Theater,successful,3800,1.063889474,30
Comics,successful,4750,1.158947368,30
Design,successful,6500,3.691692308,45
Film &amp; Video,successful,2000,1.015,28.56
Art,successful,500,2.22,30
Film &amp; Video,failed,10000,0.2397,20.96
Film &amp; Video,successful,5000,1.7794,59.96
Food,failed,5000,0.266,30
Film &amp; Video,successful,1800,1.592222222,38.13
Art,failed,500,0,24.19
Theater,failed,11000,0.165454545,33.08
Film &amp; Video,successful,25000,1.15148,30
Design,failed,40000,0.04415,38
Film &amp; Video,successful,6800,1.039132353,44.96
Design,failed,10000,0.0281,30
Film &amp; Video,failed,2500,0.004,23.04
Art,failed,1000,0.245,27.96
Music,successful,2000,1.001,17.97
Film &amp; Video,successful,500,1.28,10.94
Dance,successful,2500,1.244,30
Art,failed,5000.01,0,69.06
Games,successful,3000,1.09722,25
Music,successful,1000,2.006,35.04
Theater,successful,1000,1.101,14
Music,successful,4000,1.325,30
Design,failed,10000,0.0008,44.96
Design,successful,15000,1.194066667,35.45
Photography,successful,2500,2.076,30
Publishing,failed,4000,0.1275,45
Music,successful,1000,1.09,30
Film &amp; Video,failed,25000,0.12008,30
Music,failed,5000,0,30
Music,failed,30000,0,30
Games,failed,13700,0.05270073,60
Publishing,failed,30000,0,30
Film &amp; Video,failed,50000,0,60.11
Music,successful,2000,1.14,35
Film &amp; Video,successful,1000,1.241,30
Music,successful,3500,1.314857143,40
Food,successful,1500,2.716666667,26.03
Music,successful,2000,3.53797,29.96
Photography,successful,3000,1.386333333,60
Music,failed,4450,0.004494382,32.76
Theater,successful,1003,1.528414756,10.41
Comics,failed,5000,0.0302,28
Film &amp; Video,successful,1500,1.15,25.93
Dance,successful,800,1.1925,32.3
Comics,successful,5000,1.167,45.21
Film &amp; Video,successful,1200,1.000416667,30
Film &amp; Video,failed,5500,0.065454545,60.04
Film &amp; Video,failed,3000,0.003666667,24.46
Art,successful,1000,1.089,30.04
Design,successful,5000,1.0146,28.5
Photography,failed,8000,0,29.96
Film &amp; Video,failed,1000,0.261,30
Film &amp; Video,failed,800,0,7.12
Film &amp; Video,failed,30000,0.018855333,30
Design,failed,15000,0.010733333,30
Film &amp; Video,successful,1100,1.1,22
Art,successful,1500,1.036666667,30.96
Fashion,failed,8000,0.0125,28
Film &amp; Video,failed,80000,0.0003125,38
Fashion,successful,3000,1.145,32.59
Film &amp; Video,failed,5000,0.359654,60
Publishing,failed,2600,0.011923077,30
Music,successful,2300,1.252608696,29.96
Publishing,failed,883.42,0.391659686,30
Art,failed,5000,0.0818,45.04
Film &amp; Video,successful,500,1.12,31.28
Music,failed,2000,0.085,60.04
Art,failed,2900,0.128965517,30
Games,successful,5000,1.765802,36.09
Film &amp; Video,failed,15000,0,45
Film &amp; Video,successful,4000,1.0137525,45.04
Publishing,successful,7500,2.267616,30
Technology,failed,7000,0.268142857,34.8
Film &amp; Video,failed,3500,0,29.96
Music,failed,6000,0.3675,33
Film &amp; Video,successful,2555,1.174168297,30
Publishing,successful,5000,1.0946,20.25
Theater,successful,800,1.7,30
Art,failed,3000,0.372,45
Design,failed,30000,0.01,32.96
Publishing,failed,5000,0.01,30.55
Publishing,failed,500,0.084,29.94
Music,failed,2500,0.03,60
Film &amp; Video,failed,9200,0.13173913,45.97
Film &amp; Video,successful,3500,1.005714286,61.85
Photography,successful,2000,1,60
Photography,failed,10000,0.1866,46.32
Publishing,successful,5000,1.257354,29.96
Music,failed,9000,0.016666667,27.73
Publishing,failed,1500,0.008,20.97
Music,failed,4000,0.4015,32
Music,successful,12000,1.06875,30
Food,successful,1420,1.280985915,29.96
Film &amp; Video,failed,29000,0.034184483,56.82
Photography,failed,2500,0.0436,60.04
Food,successful,10000,1.024,59.96
Music,successful,9500,1.037894737,40.49
Art,failed,500,0.556,45
Film &amp; Video,successful,5005,1.266333666,20.06
Film &amp; Video,successful,6000,1.018781667,40.2
Publishing,failed,10000,0,29.96
Technology,failed,11000,0,34.99
Film &amp; Video,failed,800,0.22,30
Music,failed,1500,0.225,45
Music,successful,20000,1.6509,50
Film &amp; Video,failed,5500,0.040909091,30
Theater,successful,3967,1.038316108,71.08
Theater,successful,1200,1.25,20
Art,successful,500,1.28,30
Games,failed,4000,0.07175,60
Publishing,failed,5000,0.122202,21
Music,successful,700,2.672857143,17.55
Theater,successful,2500,1.508,12
Publishing,failed,1000,0,17.95
Film &amp; Video,failed,468661,0,60
Music,successful,1500,1.026666667,40
Design,failed,10000,0.144625,30
Comics,failed,5000,0.041,90
Film &amp; Video,failed,10000,0.007,69
