category,status,goal,funded percentage,duration
Film & Video,failed,25000,0.001,44.96
Film & Video,successful,3000,1.02722,40.04
Food,failed,8000,0.349625,30
Theater,successful,1500,1.811333333,40
Music,successful,5000,1.20041,32.92
Film & Video,failed,2500,0.3292,55
Design,successful,3200,1.218546875,90.96
Publishing,failed,50000,0,30
Music,failed,3000,0.37,74.94
Music,successful,2000,2.0385,30
Music,failed,5000,0,30
Film & Video,failed,250000,0.000008,33
Film & Video,failed,7000,0.071428571,30
Publishing,successful,1100,1.005454545,30
Art,successful,2995,1.140233723,24.43
Film & Video,successful,5000,1.4222,49.28
Publishing,failed,1500,0.25,29.04
Music,successful,4000,1.17025,54.34
Music,successful,3000,1.035333333,30.04
Film & Video,successful,500,2.002,29.96
Technology,failed,30000,0.146966667,45.81
Publishing,successful,5000,1.2182,30
Film & Video,failed,9800,0.025,81.89
Publishing,failed,700,0,88.91
Technology,failed,13500,0.394666667,15
Film & Video,failed,25000,0.1154,30.84
Music,failed,17000,0.023823529,50.25
Film & Video,failed,25000,0.0058,37.71
Film & Video,failed,8000,0,40
Photography,failed,1985,0.221662469,52.12
Film & Video,failed,15000,0.09,57.47
Music,failed,1000,0,30
Theater,successful,5500,1.038181818,38
Theater,successful,2000,1.66,26
Publishing,successful,7000,1.069885714,60
Publishing,successful,1850,1.691891892,30
Film & Video,failed,500,0,20
Music,failed,7890,0,30
Film & Video,failed,3000,0.003333333,60.04
Food,failed,5000,0.7486,44.96
Film & Video,successful,700,1.123314286,30
Publishing,failed,1700,0.008823529,30
Art,successful,700,1.277142857,38.15
Film & Video,failed,900,0.416666667,30.04
Film & Video,successful,2000,1.133,14.02
Film & Video,successful,5000,1.039278,39.47
Design,successful,20000,1.0120625,30
Art,successful,1500,1.066666667,30
Fashion,failed,3000,0.263666667,14.1
Publishing,failed,4000,0.0075,30
Fashion,successful,10000,1.321,7.1
Publishing,successful,5000,1.0962,39.09
Film & Video,failed,575,0.008695652,30.61
Film & Video,successful,3500,1.161237143,30.96
Games,successful,5000,1.736754,33.95
Art,successful,2500,1.0084,20
Music,failed,9000,0,30
Music,failed,2100,0.133333333,20
Film & Video,failed,6000,0.156666667,50.98
Art,failed,3000,0,10.58
Film & Video,failed,85000,5.88E-05,49.96
Film & Video,failed,130000,0.002115385,89.96
Photography,failed,8700,0.354712644,86.96
Film & Video,failed,58000,0.00387931,35
Film & Video,failed,950,0,21.03
Publishing,failed,2500,0.1048,26.3
Film & Video,failed,550,0,30
Music,successful,5000,1.253066,50
Music,successful,5000,1.0942,34.16
Music,failed,5000,0.02,89.64
Film & Video,successful,2500,1.2296,60
Film & Video,failed,5000,0.711,38.91
Film & Video,failed,10000,0.073,30
Film & Video,failed,25000,0.02944,54.25
Music,successful,1500,1.014513333,45.29
Publishing,failed,10000,0.0025,30.04
Film & Video,failed,11000,0.692545455,50.18
Film & Video,successful,500,1.23,30
Photography,failed,30000,0,30
Film & Video,successful,20000,1.015,31.17
Design,failed,3000,0.006666667,30
Music,failed,4000,0.045,46.5
Design,successful,7000,1.185571429,60.78
Music,failed,2500,0.2612,47.78
Music,failed,8000,0.13375,56.82
Photography,failed,7500,0.001333333,30
Music,successful,6000,1.018333333,30.04
Music,failed,3000,0,32.03
Film & Video,successful,5000,1.228422,31.17
Film & Video,successful,12500,1.05008,60.04
Film & Video,successful,5000,1.121,30
Music,successful,2000,1.115215,30
Film & Video,successful,10000,1.002599,30
Film & Video,failed,4500,0.023333333,29.96
Music,successful,40000,1.19095025,33.54
Film & Video,successful,1142.5,1.470459519,45.04
Music,successful,1600,1.39625,39.96
Music,failed,3500,0.078571429,41.94
Fashion,successful,5000,1.2992,31
Film & Video,failed,2000,0.0375,20.34
Film & Video,successful,1700,1.047058824,14
Art,failed,6000,0.020166667,19.15
Art,failed,1100,0.622727273,14.5
Art,successful,1200,1.775,8.39
Food,failed,4000,0.06875,30.04
Music,failed,3000,0.029666667,4.86
Film & Video,failed,18000,0.004166667,63.98
Food,failed,25000,0.28984,89.98
Music,successful,1000,1.275,48.81
Music,successful,1500,1.576666667,20.99
Music,successful,22000,1.130454545,73.53
Art,failed,5000,0.2634,45
Theater,failed,20000,0.06125,60
Film & Video,successful,2000,2.0125,45
Art,failed,24000,0.02875,65.35
Photography,failed,1500,0.196666667,89.01
Music,successful,3000,1.6985,30.96
Games,failed,20000,0.00055,40.04
Photography,failed,5000,0.0404,29.96
Film & Video,successful,12000,1.017083333,32
Music,failed,1500,0,40
Music,successful,10000,1.0195,30.96
Art,failed,10000,0.041,89.79
Design,successful,500,1.23,45.43
Art,failed,5000,0.001,45.96
Food,failed,2500,0.0084,35.04
Music,successful,8000,1.08512625,30
Games,successful,2500,1.084,30
Photography,failed,6000,0.016666667,40
Art,failed,26400,0.275719697,30
Film & Video,successful,10000,1.200508,39.96
Film & Video,successful,10000,3.2121,45
Comics,failed,2500,0.064,60
Publishing,successful,2500,1.234,27.39
Film & Video,successful,2000,1.000555,60
Food,successful,3000,1.382333333,21
Music,successful,3000,1.026333333,29.91
Film & Video,failed,5000,0.099,31.28
Film & Video,successful,5000,1.005,14
Film & Video,successful,1500,1.81034,30
Film & Video,failed,2000,0,31
Publishing,failed,10000,0.0181,90.96
Music,failed,7500,0.265333333,60.04
Music,successful,4700,1.103404255,45
Film & Video,failed,1500,0.378,46.81
Film & Video,successful,700,1.185714286,45
Food,failed,5400,0.157407407,30
Music,successful,12500,1.0084,39.79
Art,successful,2000,1.083,32.96
Food,failed,4000,0.51125,38
Publishing,failed,9000,0.117555556,43.41
Art,failed,30000,0,60.04
Film & Video,successful,3000,1.155,29.96
Art,failed,2300,0.013043478,15
Art,successful,3000,1.270383333,30
Art,successful,2500,1.9784,33.95
Music,successful,1524,1.062335958,30
Film & Video,successful,550,1.036363636,22
Publishing,failed,9750,0.052512821,36.17
Publishing,failed,2500,0,30
Art,successful,1500,1.094813333,66.07
Fashion,failed,5000,0.0002,40
Music,failed,45000,0.025,52.29
Photography,successful,3000,1.022333333,45.45
Publishing,failed,5500,0.001454545,45
Music,successful,2000,1.0875,51.14
Film & Video,successful,1500,1.453333333,45
Art,failed,5000,0.009,29.96
Film & Video,failed,1000,0.075,18.18
Film & Video,successful,500,1,35.26
Food,successful,3000,1.22414,30
Art,successful,7000,1.009714286,45.09
Fashion,failed,10000,0.0125,21.5
Music,failed,5000,0.11,60
Art,failed,15000,0.011866667,63.62
Design,successful,800,1.00125,35
Technology,successful,1800,1.337777778,88.2
Film & Video,successful,5000,1.1742,30
Art,successful,2000,1,30
Comics,failed,6000,0.004166667,30
Film & Video,failed,42000,0.063333333,40.47
Music,successful,7500,1.384933333,30
Photography,failed,1500,0,45
Music,successful,650,1.809615385,36.96
Music,failed,15000,6.67E-05,55.11
Photography,successful,1700,1.144117647,30.04
Publishing,failed,7500,0.12,32.27
Art,failed,7500,0.078266667,48.02
Art,successful,6000,1.018333333,32.58
Music,successful,1400,1.215178571,43.02
Publishing,successful,13000,1.011769231,30.23
Music,successful,3000,1.035,32.96
Publishing,successful,3000,3.398133333,31
Film & Video,failed,2500,0.018,30.35
Film & Video,successful,2700,1.028518519,34
Film & Video,failed,5000,0,89.72
Theater,successful,1000,1.11,14.8
Music,successful,1000,1.26,41.02
Publishing,failed,26000,0,20.96
Film & Video,successful,1500,1.100666667,29.96
Comics,failed,800,0.1575,51.92
Publishing,successful,6000,2.611833333,30
Music,successful,10000,1.028202,30
Food,failed,30000,0.157533333,30
Art,failed,10000,0.065,90.96
Art,successful,1000,1.19,10
Film & Video,successful,7500,1.000133333,30
Music,successful,1000,1.175,30
Design,failed,5000,0.1182,54
Comics,failed,1000,0.01,30
Publishing,successful,4000,1.012875,45
Film & Video,successful,6000,1.2105,44.99
Publishing,failed,4500,0.001111111,30
Film & Video,failed,20000,0.00875,90
Theater,failed,4000,0.0095,35
Film & Video,successful,600,1.326666667,19.29
Film & Video,failed,18000,0.101722222,60
Theater,successful,4000,1.1836725,30
Music,failed,5000,0.009,60
Music,failed,2000,0.1045,42.33
Music,successful,12000,1.023935833,60
Film & Video,failed,5000,0.071,21.05
Fashion,failed,5250,0.159619048,48.9
Fashion,failed,8000,0.002625,60
Fashion,failed,4000,0,22.33
Film & Video,successful,1000,2.208,23.95
Design,failed,85000,0.006070588,58.41
Film & Video,successful,6000,1.069166667,40.88
Music,failed,7500,0.04,35
Film & Video,successful,5000,1.04312,59.15
Film & Video,successful,500,1.95,45.04
Art,successful,3800,1,29.96
Film & Video,successful,500,1.63002,31
Music,successful,5000,1.084398,60.04
Film & Video,successful,8500,1.002941176,45.04
Food,successful,3500,1.001428571,31.11
Photography,failed,2200,0.113636364,30
Art,successful,8000,1.0457075,30
Music,successful,3500,1.028474286,35.84
Art,successful,2500,1.0012,39.38
Photography,failed,1750,0,36
Music,failed,30000,0,90.96
Design,failed,3000,0.275,89.47
Film & Video,successful,2500,1.014,46.06
Film & Video,successful,2000,1.1775,55.21
Film & Video,failed,75000,0.607960267,40
Music,successful,10000,1.182662,65.48
Comics,successful,700,1.107142857,35.17
Dance,successful,5000,1.043,40.25
Film & Video,failed,5000,0.02,90
Music,successful,1500,1.518,20.96
